timestamp,sensor_id,humidity_rad,temp_rad,humidity_room,temp_room,temperature (outdoor)
4/3/2025 4:01,radiator,53.8,20,#N/A,#N/A,
4/3/2025 4:04,room,#N/A,#N/A,43.3,22.6,
4/3/2025 4:11,radiator,53.2,20.1,#N/A,#N/A,
4/3/2025 4:14,room,#N/A,#N/A,43.1,22.6,
4/3/2025 4:22,radiator,51.5,20.3,#N/A,#N/A,
4/3/2025 4:24,room,#N/A,#N/A,43.1,22.6,
4/3/2025 4:32,radiator,49.8,20.6,#N/A,#N/A,
4/3/2025 4:34,room,#N/A,#N/A,43,22.6,
4/3/2025 4:42,radiator,48.9,20.9,#N/A,#N/A,
4/3/2025 4:44,room,#N/A,#N/A,42.8,22.6,
4/3/2025 4:52,radiator,48.8,20.9,#N/A,#N/A,
4/3/2025 4:54,room,#N/A,#N/A,42.8,22.6,
4/3/2025 5:02,radiator,49.4,21,#N/A,#N/A,
4/3/2025 5:04,room,#N/A,#N/A,42.7,22.7,
4/3/2025 5:12,radiator,48.3,21.1,#N/A,#N/A,
4/3/2025 5:14,room,#N/A,#N/A,42.8,22.7,
4/3/2025 5:22,radiator,48.3,21.2,#N/A,#N/A,
4/3/2025 5:24,room,#N/A,#N/A,42.7,22.7,
4/3/2025 5:32,radiator,48.5,21.2,#N/A,#N/A,
4/3/2025 5:34,room,#N/A,#N/A,42.8,22.7,
4/3/2025 5:42,radiator,47.7,21.3,#N/A,#N/A,
4/3/2025 5:44,room,#N/A,#N/A,42.8,22.7,
4/3/2025 5:52,radiator,47.8,21.3,#N/A,#N/A,
4/3/2025 5:54,room,#N/A,#N/A,42.9,22.7,
4/3/2025 6:02,radiator,47.5,21.4,#N/A,#N/A,
4/3/2025 6:04,room,#N/A,#N/A,42.8,22.8,
4/3/2025 6:12,radiator,49.8,21.4,#N/A,#N/A,
4/3/2025 6:14,room,#N/A,#N/A,42.9,22.8,
4/3/2025 6:22,radiator,48.8,21.4,#N/A,#N/A,
4/3/2025 6:24,room,#N/A,#N/A,42.9,22.8,
4/3/2025 6:32,radiator,47,21.5,#N/A,#N/A,
4/3/2025 6:34,room,#N/A,#N/A,43,22.8,
4/3/2025 6:42,radiator,46.7,21.6,#N/A,#N/A,
4/3/2025 6:44,room,#N/A,#N/A,42.9,22.8,
4/3/2025 6:52,radiator,49,21.6,#N/A,#N/A,
4/3/2025 6:54,room,#N/A,#N/A,43,22.8,
4/3/2025 7:02,radiator,46.6,21.7,#N/A,#N/A,
4/3/2025 7:04,room,#N/A,#N/A,43,22.8,
4/3/2025 7:12,radiator,46.4,21.8,#N/A,#N/A,
4/3/2025 7:14,room,#N/A,#N/A,43.1,22.8,
4/3/2025 7:22,radiator,46.4,21.9,#N/A,#N/A,
4/3/2025 7:24,room,#N/A,#N/A,43.2,22.8,
4/3/2025 7:32,radiator,46.3,21.9,#N/A,#N/A,
4/3/2025 7:34,room,#N/A,#N/A,43.4,22.9,
4/3/2025 7:42,radiator,46.5,22,#N/A,#N/A,
4/3/2025 7:44,room,#N/A,#N/A,43.6,22.9,
4/3/2025 7:52,radiator,46.6,22,#N/A,#N/A,
4/3/2025 7:54,room,#N/A,#N/A,43.7,22.9,
4/3/2025 8:02,radiator,46.6,22.1,#N/A,#N/A,
4/3/2025 8:04,room,#N/A,#N/A,43.9,22.9,
4/3/2025 8:12,radiator,47,22.1,#N/A,#N/A,
4/3/2025 8:14,room,#N/A,#N/A,44,23,
4/3/2025 8:22,radiator,47,22.1,#N/A,#N/A,
4/3/2025 8:24,room,#N/A,#N/A,44.2,23,
4/3/2025 8:32,radiator,46.8,22.1,#N/A,#N/A,
4/3/2025 8:34,room,#N/A,#N/A,44.2,23,
4/3/2025 8:42,radiator,46.8,22.2,#N/A,#N/A,
4/3/2025 8:44,room,#N/A,#N/A,44.3,23,
4/3/2025 8:52,radiator,46.8,22.2,#N/A,#N/A,
4/3/2025 8:54,room,#N/A,#N/A,44.3,23,
4/3/2025 9:02,radiator,55,21.9,#N/A,#N/A,
4/3/2025 9:04,room,#N/A,#N/A,44.9,23,
4/3/2025 9:12,radiator,59.1,21.5,#N/A,#N/A,
4/3/2025 9:14,room,#N/A,#N/A,45.4,23,
4/3/2025 9:22,radiator,58.4,21.4,#N/A,#N/A,
4/3/2025 9:24,room,#N/A,#N/A,45.8,23,
4/3/2025 9:32,radiator,56,21.3,#N/A,#N/A,
4/3/2025 9:34,room,#N/A,#N/A,45.9,23,
4/3/2025 9:42,radiator,55.7,21.3,#N/A,#N/A,
4/3/2025 9:44,room,#N/A,#N/A,46.1,23,
4/3/2025 9:52,radiator,50.7,21.6,#N/A,#N/A,
4/3/2025 9:54,room,#N/A,#N/A,46,23,
4/3/2025 10:02,radiator,50.7,21.8,#N/A,#N/A,
4/3/2025 10:05,room,#N/A,#N/A,46,23,
4/3/2025 10:12,radiator,49.8,21.9,#N/A,#N/A,
4/3/2025 10:15,room,#N/A,#N/A,46,23,
4/3/2025 10:22,radiator,50.2,22,#N/A,#N/A,
4/3/2025 10:25,room,#N/A,#N/A,46.1,23,
4/3/2025 10:32,radiator,51,21.8,#N/A,#N/A,
4/3/2025 10:35,room,#N/A,#N/A,46.2,23.1,
4/3/2025 10:42,radiator,51.2,21.7,#N/A,#N/A,
4/3/2025 10:45,room,#N/A,#N/A,46.3,23,
4/3/2025 10:52,radiator,51.5,21.6,#N/A,#N/A,
4/3/2025 10:55,room,#N/A,#N/A,46.3,23.1,
4/3/2025 11:02,radiator,51.4,21.7,#N/A,#N/A,
4/3/2025 11:05,room,#N/A,#N/A,46.4,23.1,
4/3/2025 11:12,radiator,50.5,21.8,#N/A,#N/A,
4/3/2025 11:15,room,#N/A,#N/A,46.5,23.1,
4/3/2025 11:22,radiator,51.3,21.8,#N/A,#N/A,
4/3/2025 11:25,room,#N/A,#N/A,46.6,23.1,
4/3/2025 11:32,radiator,53.8,21.7,#N/A,#N/A,
4/3/2025 11:35,room,#N/A,#N/A,46.7,23.1,
4/3/2025 11:42,radiator,54,21.7,#N/A,#N/A,
4/3/2025 11:45,room,#N/A,#N/A,46.8,23.1,
4/3/2025 11:52,radiator,51.6,21.7,#N/A,#N/A,
4/3/2025 11:55,room,#N/A,#N/A,46.8,23.1,
4/3/2025 12:02,radiator,51.3,21.8,#N/A,#N/A,
4/3/2025 12:05,room,#N/A,#N/A,47,23.1,
4/3/2025 12:12,radiator,51.8,21.9,#N/A,#N/A,
4/3/2025 12:15,room,#N/A,#N/A,47,23.1,
4/3/2025 12:22,radiator,51.4,21.8,#N/A,#N/A,
4/3/2025 12:25,room,#N/A,#N/A,48.9,23.3,
4/3/2025 12:32,radiator,52.6,22,#N/A,#N/A,
4/3/2025 12:35,room,#N/A,#N/A,48.2,23.2,
4/3/2025 12:42,radiator,52.4,22.1,#N/A,#N/A,
4/3/2025 12:45,room,#N/A,#N/A,48.4,23.2,
4/3/2025 12:52,radiator,52.9,22.1,#N/A,#N/A,
4/3/2025 12:55,room,#N/A,#N/A,48.4,23.2,
4/3/2025 13:02,radiator,53,22.1,#N/A,#N/A,
4/3/2025 13:05,room,#N/A,#N/A,48.5,23.2,
4/3/2025 13:12,radiator,52.3,22.2,#N/A,#N/A,
4/3/2025 13:15,room,#N/A,#N/A,48.6,23.3,
4/3/2025 13:22,radiator,52.3,22.3,#N/A,#N/A,
4/3/2025 13:25,room,#N/A,#N/A,48.9,23.3,
4/3/2025 13:32,radiator,52.4,22.3,#N/A,#N/A,
4/3/2025 13:35,room,#N/A,#N/A,49.2,23.3,
4/3/2025 13:42,radiator,52.9,22.3,#N/A,#N/A,
4/3/2025 13:45,room,#N/A,#N/A,49.7,23.3,
4/3/2025 13:52,radiator,54,22.4,#N/A,#N/A,
4/3/2025 13:55,room,#N/A,#N/A,50.1,23.3,
4/3/2025 14:02,radiator,53.9,22.5,#N/A,#N/A,
4/3/2025 14:05,room,#N/A,#N/A,50.6,23.3,
4/3/2025 14:12,radiator,54.4,22.5,#N/A,#N/A,
4/3/2025 14:15,room,#N/A,#N/A,50.8,23.4,
4/3/2025 14:22,radiator,54.7,22.5,#N/A,#N/A,
4/3/2025 14:25,room,#N/A,#N/A,51,23.4,
4/3/2025 14:32,radiator,55.5,22.6,#N/A,#N/A,
4/3/2025 14:35,room,#N/A,#N/A,51.4,23.4,
4/3/2025 14:42,radiator,55.7,22.6,#N/A,#N/A,
4/3/2025 14:45,room,#N/A,#N/A,51.7,23.5,
4/3/2025 14:52,radiator,55.6,22.7,#N/A,#N/A,
4/3/2025 14:55,room,#N/A,#N/A,52,23.5,
4/3/2025 15:02,radiator,55.8,22.8,#N/A,#N/A,
4/3/2025 15:05,room,#N/A,#N/A,52.1,23.5,
4/3/2025 15:12,radiator,55.6,22.8,#N/A,#N/A,
4/3/2025 15:15,room,#N/A,#N/A,52.4,23.5,
4/3/2025 15:22,radiator,56.1,22.8,#N/A,#N/A,
4/3/2025 15:25,room,#N/A,#N/A,52.7,23.5,
4/3/2025 15:32,radiator,56.4,22.9,#N/A,#N/A,
4/3/2025 15:35,room,#N/A,#N/A,52.8,23.6,
4/3/2025 15:42,radiator,56.4,22.9,#N/A,#N/A,
4/3/2025 15:45,room,#N/A,#N/A,53,23.6,
4/3/2025 15:52,radiator,56,23,#N/A,#N/A,
4/3/2025 15:55,room,#N/A,#N/A,53.2,23.6,
4/3/2025 16:02,radiator,56.6,22.9,#N/A,#N/A,
4/3/2025 16:05,room,#N/A,#N/A,53.5,23.6,
4/3/2025 16:12,radiator,56.4,23,#N/A,#N/A,
4/3/2025 16:15,room,#N/A,#N/A,53.7,23.6,
4/3/2025 16:22,radiator,57.1,23,#N/A,#N/A,
4/3/2025 16:25,room,#N/A,#N/A,53.8,23.7,
4/3/2025 16:32,radiator,56.8,23.1,#N/A,#N/A,
4/3/2025 16:35,room,#N/A,#N/A,53.9,23.7,
4/3/2025 16:42,radiator,56.9,23.1,#N/A,#N/A,
4/3/2025 16:45,room,#N/A,#N/A,53.9,23.7,
4/3/2025 16:52,radiator,56.9,23.1,#N/A,#N/A,
4/3/2025 16:55,room,#N/A,#N/A,54,23.7,
4/3/2025 17:02,radiator,57.1,23.1,#N/A,#N/A,
4/3/2025 17:05,room,#N/A,#N/A,#N/A,#N/A,
4/3/2025 17:12,radiator,#N/A,#N/A,#N/A,#N/A,
4/3/2025 17:15,room,#N/A,#N/A,#N/A,#N/A,
4/3/2025 17:22,radiator,#N/A,#N/A,#N/A,#N/A,
4/3/2025 17:25,room,#N/A,#N/A,#N/A,#N/A,
4/3/2025 17:32,radiator,#N/A,#N/A,#N/A,#N/A,
4/3/2025 17:35,room,#N/A,#N/A,#N/A,#N/A,
4/3/2025 17:42,radiator,#N/A,#N/A,#N/A,#N/A,
4/3/2025 17:45,room,#N/A,#N/A,#N/A,#N/A,
4/3/2025 17:52,radiator,#N/A,#N/A,#N/A,#N/A,
4/3/2025 17:55,room,#N/A,#N/A,#N/A,#N/A,
4/3/2025 18:02,radiator,#N/A,#N/A,#N/A,#N/A,
4/3/2025 18:05,room,#N/A,#N/A,#N/A,#N/A,
4/3/2025 18:12,radiator,#N/A,#N/A,#N/A,#N/A,
4/3/2025 18:15,room,#N/A,#N/A,#N/A,#N/A,
4/3/2025 18:22,radiator,#N/A,#N/A,#N/A,#N/A,
4/3/2025 18:25,room,#N/A,#N/A,#N/A,#N/A,
4/3/2025 18:32,radiator,#N/A,#N/A,#N/A,#N/A,
4/3/2025 18:35,room,#N/A,#N/A,#N/A,#N/A,
4/3/2025 18:42,radiator,#N/A,#N/A,#N/A,#N/A,
4/3/2025 18:45,room,#N/A,#N/A,#N/A,#N/A,
4/3/2025 18:52,radiator,#N/A,#N/A,#N/A,#N/A,
4/3/2025 18:55,room,#N/A,#N/A,#N/A,#N/A,
4/3/2025 19:02,radiator,#N/A,#N/A,#N/A,#N/A,
4/3/2025 19:05,room,#N/A,#N/A,#N/A,#N/A,
4/3/2025 19:12,radiator,#N/A,#N/A,#N/A,#N/A,
