timestamp,sensor_id,humidity,temperature (sensor reading),temperature (outdoor),rad_status,insulation_on
4/9/2025 1:54,room,16.4,21.9,N/A,0.5,0
4/9/2025 2:04,radiator,28.9,13.9,N/A,0.5,0
4/9/2025 2:04,room,16.3,21.8,N/A,0.5,0
4/9/2025 2:14,radiator,28.8,13.9,N/A,0.5,0
4/9/2025 2:14,room,16.3,21.8,N/A,0.5,0
4/9/2025 2:24,radiator,28.4,14.3,N/A,0.5,0
4/9/2025 2:24,room,16.4,21.8,N/A,0.5,0
4/9/2025 2:34,radiator,28.4,14.4,N/A,0.5,0
4/9/2025 2:34,room,16.4,21.9,N/A,0.5,0
4/9/2025 2:44,radiator,28.1,14.4,N/A,0.5,0
4/9/2025 2:44,room,16.3,21.9,N/A,0.5,0
4/9/2025 2:54,radiator,28.7,14.1,N/A,0.5,0
4/9/2025 2:54,room,16.4,21.8,N/A,0.5,0
4/9/2025 3:04,radiator,28.6,13.9,N/A,0.5,0
4/9/2025 3:04,room,16.4,21.8,N/A,0.5,0
4/9/2025 3:14,radiator,28.8,13.7,N/A,0.5,0
4/9/2025 3:14,room,16.4,21.8,N/A,0.5,0
4/9/2025 3:24,radiator,29.2,13.7,N/A,0.5,0
4/9/2025 3:24,room,16.3,21.7,N/A,0.5,0
4/9/2025 3:34,radiator,29,13.6,N/A,0.5,0
4/9/2025 3:34,room,16.3,21.7,N/A,0.5,0
4/9/2025 3:44,radiator,29.2,13.5,N/A,0.5,0
4/9/2025 3:44,room,16.4,21.7,N/A,0.5,0
4/9/2025 3:54,radiator,29.1,13.4,N/A,0.5,0
4/9/2025 3:54,room,16.3,21.7,N/A,0.5,0
4/9/2025 4:04,radiator,29.1,13.4,N/A,0.5,0
4/9/2025 4:04,room,16.3,21.7,N/A,0.5,0
4/9/2025 4:14,radiator,29.4,13.3,N/A,0.5,0
4/9/2025 4:14,room,16.3,21.7,N/A,0.5,0
4/9/2025 4:24,radiator,29.4,13.3,N/A,0.5,0
4/9/2025 4:24,room,16.3,21.6,N/A,0.5,0
4/9/2025 4:34,radiator,29.8,13.2,N/A,0.5,0
4/9/2025 4:34,room,16.4,21.6,N/A,0.5,0
4/9/2025 4:44,radiator,29.9,13.2,N/A,0.5,0
4/9/2025 4:44,room,16.4,21.6,N/A,0.5,0
4/9/2025 4:54,radiator,30.4,13.2,N/A,0.5,0
4/9/2025 4:54,room,16.5,21.6,N/A,0.5,0
4/9/2025 5:04,radiator,30.9,13.1,N/A,0.5,0
4/9/2025 5:04,room,16.6,21.6,N/A,0.5,0
4/9/2025 5:14,radiator,31.1,13.1,N/A,0.5,0
4/9/2025 5:14,room,16.8,21.5,N/A,0.5,0
4/9/2025 5:24,radiator,31.2,12.9,N/A,0.5,0
4/9/2025 5:24,room,16.9,21.5,N/A,0.5,0
4/9/2025 5:34,radiator,31.6,13,N/A,0.5,0
4/9/2025 5:34,room,17,21.5,N/A,0.5,0
4/9/2025 5:44,radiator,31.1,13.1,N/A,0.5,0
4/9/2025 5:44,room,17,21.5,N/A,0.5,0
4/9/2025 5:54,radiator,31.5,12.9,N/A,0.5,0
4/9/2025 5:55,room,17.1,21.5,N/A,0.5,0
4/9/2025 6:04,radiator,31.5,13,N/A,0.5,0
4/9/2025 6:05,room,17.1,21.5,N/A,0.5,0
4/9/2025 6:14,radiator,31.2,13,N/A,0.5,0
4/9/2025 6:15,room,17.1,21.5,N/A,0.5,0
4/9/2025 6:24,radiator,31.5,13,N/A,0.5,0
4/9/2025 6:25,room,17.1,21.5,N/A,0.5,0
4/9/2025 6:34,radiator,32.2,12.9,N/A,0.5,0
4/9/2025 6:35,room,17.2,21.5,N/A,0.5,0
4/9/2025 6:44,radiator,32.2,12.9,N/A,0.5,0
4/9/2025 6:45,room,17.4,21.5,N/A,0.5,0
4/9/2025 6:54,radiator,32.4,13,N/A,0.5,0
4/9/2025 6:55,room,17.4,21.5,N/A,0.5,0
4/9/2025 7:04,radiator,32.8,13,N/A,0.5,0
4/9/2025 7:05,room,17.5,21.5,N/A,0.5,0
4/9/2025 7:14,radiator,32.7,13,N/A,0.5,0
4/9/2025 7:15,room,17.6,21.5,N/A,0.5,0
4/9/2025 7:24,radiator,32.9,13,N/A,0.5,0
4/9/2025 7:25,room,17.7,21.5,N/A,0.5,0
4/9/2025 7:34,radiator,33,13,N/A,0.5,0
4/9/2025 7:35,room,17.8,21.5,N/A,0.5,0
4/9/2025 7:44,radiator,33.2,13,N/A,0.5,0
4/9/2025 7:45,room,17.8,21.5,N/A,0.5,0
4/9/2025 7:54,radiator,33.4,13,N/A,0.5,0
4/9/2025 7:55,room,18,21.5,N/A,0.5,0
4/9/2025 8:04,radiator,33.5,13.1,N/A,0.5,0
4/9/2025 8:05,room,18.1,21.5,N/A,0.5,0
4/9/2025 8:14,radiator,33.9,13,N/A,0.5,0
4/9/2025 8:15,room,18.2,21.5,N/A,0.5,0
4/9/2025 8:24,radiator,34,13,N/A,0.5,0
4/9/2025 8:25,room,18.3,21.5,N/A,0.5,0
4/9/2025 8:34,radiator,33.5,13,N/A,0.5,0
4/9/2025 8:35,room,18.3,21.5,N/A,0.5,0
4/9/2025 8:44,radiator,34.3,12.9,N/A,0.5,0
4/9/2025 8:45,room,18.4,21.5,N/A,0.5,0
4/9/2025 8:54,radiator,34.6,12.9,N/A,0.5,0
4/9/2025 8:55,room,18.5,21.5,N/A,0.5,0
4/9/2025 9:04,radiator,34.8,12.9,N/A,0.5,0
4/9/2025 9:05,room,18.7,21.4,N/A,0.5,0
4/9/2025 9:14,radiator,35.1,12.7,N/A,0.5,0
4/9/2025 9:15,room,18.8,21.4,N/A,0.5,0
4/9/2025 9:24,radiator,34.7,13,N/A,0.5,0
4/9/2025 9:25,room,18.8,21.5,N/A,0.5,0
4/9/2025 9:34,radiator,34.6,13.1,N/A,0.5,0
4/9/2025 9:35,room,18.9,21.5,N/A,0.5,0
4/9/2025 9:44,radiator,34.6,13.1,N/A,0.5,0
4/9/2025 9:45,room,18.9,21.5,N/A,0.5,0
4/9/2025 9:54,radiator,34.6,13,N/A,0.5,0
4/9/2025 9:55,room,18.9,21.5,N/A,0.5,0
4/9/2025 10:04,radiator,34.8,12.8,N/A,0.5,0
4/9/2025 10:05,room,18.9,21.5,N/A,0.5,0
4/9/2025 15:15,radiator,31.1,17.2,N/A,1,0
4/9/2025 15:15,room,24.9,22.2,N/A,1,0
4/9/2025 15:25,radiator,31.1,16.9,N/A,1,0
4/9/2025 15:25,room,24.9,22.2,N/A,1,0
4/9/2025 15:35,radiator,31.7,16.8,N/A,1,0
4/9/2025 15:35,room,25.1,22.1,N/A,1,0
4/9/2025 15:45,radiator,31.9,16.6,N/A,1,0
4/9/2025 15:45,room,25.2,22.2,N/A,1,0
4/9/2025 15:55,radiator,31.7,17.1,N/A,1,0
4/9/2025 15:55,room,25.3,22.3,N/A,1,0
4/9/2025 16:05,radiator,32.1,16.5,N/A,1,0
4/9/2025 16:05,room,25.6,22.4,N/A,1,0
4/9/2025 16:15,radiator,31.7,16.5,N/A,1,0
4/9/2025 16:15,room,25.5,22.3,N/A,1,0
4/9/2025 16:25,radiator,32.2,16.6,N/A,1,0
4/9/2025 16:25,room,25.7,22.3,N/A,1,0
4/9/2025 16:35,radiator,31.7,17.1,N/A,1,0
