timestamp,sensor_id,humidity,temperature (sensor reading),temperature (outdoor),rad_status,insulation_on
4/24/2025 18:43,room,37.7,27.7,N/A,1,1
4/24/2025 18:44,radiator,13.2,41.7,N/A,1,1
4/24/2025 18:53,room,37.7,27.7,N/A,1,1
4/24/2025 18:54,radiator,13.2,41.7,N/A,1,1
4/24/2025 20:13,room,37.9,27.4,N/A,1,1
4/24/2025 20:14,radiator,11.8,43.3,N/A,1,1
4/24/2025 20:23,room,37.7,27.4,N/A,1,1
4/24/2025 20:24,radiator,12.2,42.8,N/A,1,1
4/24/2025 20:33,room,37.8,27.3,N/A,1,1
4/24/2025 20:34,radiator,12.3,42.6,N/A,1,1
4/24/2025 20:43,room,37.7,27.3,N/A,1,1
4/24/2025 20:44,radiator,12.4,42.3,N/A,1,1
4/24/2025 20:53,room,37.6,27.3,N/A,1,1
4/24/2025 20:54,radiator,12.8,41.9,N/A,1,1
4/24/2025 21:03,room,37.5,27.3,N/A,1,1
4/24/2025 21:04,radiator,13,41.6,N/A,1,1
4/24/2025 21:13,room,37.5,27.3,N/A,1,1
4/24/2025 21:14,radiator,13.1,41.5,N/A,1,1
4/24/2025 21:23,room,37.4,27.3,N/A,1,1
4/24/2025 21:24,radiator,13.2,41.4,N/A,1,1
4/24/2025 21:33,room,37.3,27.3,N/A,1,1
4/24/2025 21:34,radiator,13.3,41.1,N/A,1,1
4/24/2025 21:43,room,37.2,27.3,N/A,1,1
4/24/2025 21:44,radiator,13.3,41.1,N/A,1,1
4/24/2025 21:53,room,37.2,27.3,N/A,1,1
4/24/2025 21:54,radiator,13.3,40.9,N/A,1,1
4/24/2025 22:03,room,37,27.3,N/A,1,1
4/24/2025 22:04,radiator,13.4,40.8,N/A,1,1
4/24/2025 22:13,room,37,27.3,N/A,1,1
4/24/2025 22:14,radiator,13.4,40.8,N/A,1,1
4/24/2025 22:23,room,36.8,27.3,N/A,1,1
4/24/2025 22:24,radiator,13.3,40.8,N/A,1,1
4/25/2025 1:13,room,35.6,27.2,N/A,1,1
4/25/2025 1:14,radiator,12.8,40.5,N/A,1,1
4/25/2025 1:23,room,35.6,27.2,N/A,1,1
4/25/2025 1:25,radiator,13.1,40.1,N/A,1,1
4/25/2025 1:33,room,35.5,27.2,N/A,1,1
4/25/2025 1:35,radiator,13.1,40.1,N/A,1,1
4/25/2025 1:43,room,35.5,27.2,N/A,1,1
4/25/2025 1:45,radiator,13,40.1,N/A,1,1
4/25/2025 1:53,room,35.4,27.2,N/A,1,1
4/25/2025 1:55,radiator,13.2,39.9,N/A,1,1
4/25/2025 2:04,room,35.4,27.1,N/A,1,1
4/25/2025 2:05,radiator,13.1,39.9,N/A,1,1
4/25/2025 2:14,room,35.4,27.1,N/A,1,1
4/25/2025 2:15,radiator,12.6,40.2,N/A,1,1
4/25/2025 2:24,room,35.3,27.1,N/A,1,1
4/25/2025 2:25,radiator,12.4,40.5,N/A,1,1
4/25/2025 2:34,room,35.3,27.1,N/A,1,1
4/25/2025 2:35,radiator,12.3,40.6,N/A,1,1
4/25/2025 2:44,room,35.2,27.1,N/A,1,1
4/25/2025 2:45,radiator,12.3,40.6,N/A,1,1
4/25/2025 2:54,room,35.1,27.1,N/A,1,1
4/25/2025 2:55,radiator,12.2,40.7,N/A,1,1
4/25/2025 3:04,room,35.1,27.1,N/A,1,1
4/25/2025 3:05,radiator,12.2,40.6,N/A,1,1
4/25/2025 3:14,room,35,27.1,N/A,1,1
4/25/2025 3:15,radiator,12.2,40.6,N/A,1,1
4/25/2025 3:24,room,35,27.1,N/A,1,1
4/25/2025 3:25,radiator,11.9,40.7,N/A,1,1
4/25/2025 3:34,room,35,27.1,N/A,1,1
4/25/2025 3:35,radiator,12.1,40.6,N/A,1,1
4/25/2025 3:44,room,34.9,27.1,N/A,1,1
4/25/2025 3:45,radiator,12,40.7,N/A,1,1
4/25/2025 3:54,room,34.9,27.1,N/A,1,1
4/25/2025 3:55,radiator,11.9,40.7,N/A,1,1
4/25/2025 4:04,room,34.8,27.1,N/A,1,1
4/25/2025 4:05,radiator,11.8,40.7,N/A,1,1
4/25/2025 4:14,room,34.8,27,N/A,1,1
4/25/2025 4:15,radiator,11.9,40.7,N/A,1,1
4/25/2025 4:24,room,34.7,27,N/A,1,1
4/25/2025 4:25,radiator,11.9,40.6,N/A,1,1
4/25/2025 4:34,room,34.7,27,N/A,1,1
4/25/2025 4:35,radiator,12,40.6,N/A,1,1
4/25/2025 4:44,room,34.6,27,N/A,1,1
4/25/2025 4:45,radiator,12.2,40.5,N/A,1,1
4/25/2025 4:54,room,34.6,27,N/A,1,1
4/25/2025 4:55,radiator,12.8,39.9,N/A,1,1
4/25/2025 5:04,room,34.6,27,N/A,1,1
4/25/2025 5:05,radiator,12.8,40,N/A,1,1
4/25/2025 5:14,room,34.6,27,N/A,1,1
4/25/2025 5:15,radiator,12.9,39.9,N/A,1,1
4/25/2025 5:24,room,34.6,27,N/A,1,1
4/25/2025 5:25,radiator,12.8,40.2,N/A,1,1
4/25/2025 5:34,room,34.6,27,N/A,1,1
4/25/2025 5:35,radiator,12.7,40.4,N/A,1,1
4/25/2025 5:44,room,34.7,27,N/A,1,1
4/25/2025 5:45,radiator,13,40.3,N/A,1,1
4/25/2025 5:54,room,34.7,27,N/A,1,1
4/25/2025 5:55,radiator,13.1,40.5,N/A,1,1
4/25/2025 6:04,room,34.7,27,N/A,1,1
4/25/2025 6:05,radiator,13.3,40.6,N/A,1,1
4/25/2025 6:14,room,34.9,27,N/A,1,1
4/25/2025 6:15,radiator,13.4,40.6,N/A,1,1
4/25/2025 6:24,room,35,27,N/A,1,1
4/25/2025 6:25,radiator,13.6,40.6,N/A,1,1
4/25/2025 6:34,room,35.1,27,N/A,1,1
4/25/2025 6:35,radiator,13.7,40.5,N/A,1,1
4/25/2025 6:44,room,35.2,27,N/A,1,1
4/25/2025 6:45,radiator,14,40.5,N/A,1,1
4/25/2025 6:54,room,35.3,27,N/A,1,1
4/25/2025 6:55,radiator,14.2,40.5,N/A,1,1
4/25/2025 7:04,room,35.5,27,N/A,1,1
4/25/2025 7:05,radiator,14.4,40.5,N/A,1,1
4/25/2025 7:14,room,35.7,27,N/A,1,1
4/25/2025 7:15,radiator,14.5,40.5,N/A,1,1
4/25/2025 7:24,room,35.9,27,N/A,1,1
4/25/2025 7:25,radiator,14.6,40.5,N/A,1,1
4/25/2025 7:34,room,36.1,27,N/A,1,1
4/25/2025 7:35,radiator,14.7,40.5,N/A,1,1
4/25/2025 7:44,room,36.3,27,N/A,1,1
4/25/2025 7:45,radiator,15,40.4,N/A,1,1
4/25/2025 7:54,room,36.5,27,N/A,1,1
4/25/2025 7:55,radiator,15,40.4,N/A,1,1
4/25/2025 8:04,room,36.6,27,N/A,1,1
4/25/2025 8:05,radiator,15.1,40.4,N/A,1,1
4/25/2025 8:14,room,36.8,27,N/A,1,1
4/25/2025 8:15,radiator,15.2,40.4,N/A,1,1
4/25/2025 8:24,room,37,27,N/A,1,1
4/25/2025 8:25,radiator,15.4,40.3,N/A,1,1
4/25/2025 8:34,room,37.1,27,N/A,1,1
4/25/2025 8:35,radiator,15.5,40.3,N/A,1,1
4/25/2025 8:44,room,37.3,27,N/A,1,1
4/25/2025 8:45,radiator,15.5,40.3,N/A,1,1
4/25/2025 8:54,room,37.5,27,N/A,1,1
4/25/2025 8:55,radiator,15.6,40.3,N/A,1,1
4/25/2025 9:04,room,37.7,27,N/A,1,1
4/25/2025 9:05,radiator,15.7,40.3,N/A,1,1
4/25/2025 9:14,room,37.8,27,N/A,1,1
4/25/2025 9:15,radiator,15.6,40.3,N/A,1,1
4/25/2025 9:24,room,38,27,N/A,1,1
4/25/2025 9:25,radiator,15.5,40.3,N/A,1,1
