timestamp,sensor_id,humidity,temperature (sensor reading),temperature (outdoor)
2025-04-02 13:56:46,radiator,39.5,21.6,N/A
2025-04-02 13:58:13,radiator,38.1,21.8,N/A
2021-01-01 00:00:05,radiator,38.1,21.8,N/A
2021-01-01 00:00:05,radiator,39.9,21.9,N/A
2025-04-02 14:10:08,outdoor,40.3,20.8,N/A
2021-01-01 00:00:05,radiator,39.4,21.4,N/A
2025-04-02 14:58:08,room1,,,N/A
2025-04-02 14:58:08,room2,,,N/A
2021-01-01 00:00:05,room1,,,N/A
2021-01-01 00:00:05,room2,,,N/A
2025-04-02 15:00:10,room1,,,N/A
2025-04-02 15:00:10,room2,,,N/A
2025-04-02 15:04:40,room1,,,N/A
2025-04-02 15:04:40,room2,,,N/A
2021-01-01 00:00:05,outdoor,40.4,23.2,N/A
2025-04-02 15:22:37,room,40.5,23.2,N/A
2021-01-01 00:00:05,room,40.0,23.7,N/A
2021-01-01 00:00:05,radiator,41.9,23.2,N/A
2021-01-01 00:00:06,room,43.3,23.3,N/A
2021-01-01 00:00:05,radiator,47.9,20.7,N/A
2021-01-01 00:10:02,room,42.5,23.3,N/A
2021-01-01 00:00:05,radiator,49.9,20.4,N/A
2021-01-01 00:00:05,radiator,50.1,20.5,N/A
2025-04-02 15:43:56,radiator,50.2,20.5,N/A
2021-01-01 00:00:05,radiator,50.0,20.5,N/A
2021-01-01 00:00:05,radiator,50.3,20.4,N/A
2021-01-01 00:00:05,radiator,50.4,20.6,N/A
2021-01-01 00:20:03,room,40.9,23.4,N/A
2025-04-02 19:54:44,radiator,50.2,20.6,N/A
2025-04-02 19:55:16,radiator,49.5,20.6,N/A
2025-04-02 19:56:08,radiator,,,N/A
2025-04-02 19:56:52,radiator,,,N/A
2025-04-02 19:57:43,radiator,,,N/A
2021-01-01 00:30:03,room,40.2,23.4,N/A
2025-04-02 20:02:03,radiator,41.3,25.5,N/A
2021-01-01 00:40:04,room,40.5,23.3,N/A
