timestamp,sensor_id,humidity,temperature (sensor reading),temperature (outdoor)
2025-04-16 21:04:29,room,28.3,25.0,N/A
2025-04-16 21:05:39,radiator,0.0,57.2,N/A
2025-04-16 21:10:58,radiator,0.0,57.3,N/A
2025-04-16 21:11:25,radiator,1.6,51.2,N/A
2025-04-16 21:14:24,room,27.9,25.0,N/A
2025-04-16 21:16:47,radiator,2.1,50.7,N/A
2025-04-16 21:17:15,radiator,4.4,45.2,N/A
2025-04-16 21:17:46,radiator,4.7,44.8,N/A
2025-04-16 21:18:16,radiator,4.9,44.3,N/A
2025-04-16 21:19:25,radiator,5.1,43.8,N/A
2025-04-16 21:19:52,radiator,5.7,42.8,N/A
2025-04-16 21:20:23,radiator,6.1,42.5,N/A
2025-04-16 21:20:53,radiator,6.1,42.2,N/A
2025-04-16 21:24:25,room,27.4,25.0,N/A
2025-04-16 21:31:56,radiator,6.3,41.8,N/A
2025-04-16 21:32:23,radiator,10.7,34.9,N/A
2025-04-16 21:32:53,radiator,10.9,34.6,N/A
2025-04-16 21:33:23,radiator,11.1,34.3,N/A
2025-04-16 21:33:53,radiator,11.2,34.2,N/A
2025-04-16 21:34:23,radiator,11.1,34.3,N/A
2025-04-16 21:34:26,room,27.5,25.0,N/A
2025-04-16 21:34:54,radiator,11.3,33.9,N/A
2025-04-16 21:36:06,radiator,11.6,33.6,N/A
2025-04-16 21:41:47,radiator,8.3,39.5,N/A
2025-04-16 21:44:26,room,27.4,24.9,N/A
