timestamp,sensor_id,humidity,temperature (sensor reading),temperature (outdoor)
2021-01-02 01:01:41,room,52.2,23.7,N/A
2025-04-03 20:32:58,radiator,58.0,23.6,N/A
2021-01-02 01:11:42,room,53.2,23.7,N/A
2025-04-03 20:42:59,radiator,58.1,23.6,N/A
2021-01-02 01:21:43,room,52.8,23.7,N/A
2025-04-03 20:53:00,radiator,58.7,23.6,N/A
2021-01-02 01:31:43,room,51.9,23.7,N/A
2025-04-03 21:03:00,radiator,59.6,23.5,N/A
2021-01-02 01:41:44,room,52.5,23.7,N/A
2025-04-03 21:13:01,radiator,58.0,23.5,N/A
2021-01-02 01:51:45,room,53.3,23.6,N/A
2025-04-03 21:23:01,radiator,57.6,23.5,N/A
2021-01-02 02:01:45,room,51.6,23.6,N/A
2025-04-03 21:33:02,radiator,57.6,23.5,N/A
2021-01-02 02:11:46,room,52.4,23.6,N/A
2025-04-03 21:43:03,radiator,57.9,23.4,N/A
2021-01-02 02:21:47,room,52.6,23.6,N/A
2025-04-03 21:53:03,radiator,62.1,23.2,N/A
2021-01-02 02:31:48,room,51.8,23.6,N/A
2025-04-03 22:03:04,radiator,60.3,23.1,N/A
2021-01-02 02:41:48,room,53.6,23.6,N/A
2025-04-03 22:13:04,radiator,60.4,23.0,N/A
2021-01-02 02:51:49,room,53.1,23.6,N/A
2025-04-03 22:23:05,radiator,60.6,22.9,N/A
2021-01-02 03:01:50,room,54.9,23.6,N/A
2025-04-03 22:33:06,radiator,63.0,22.7,N/A
2021-01-02 03:11:50,room,54.1,23.6,N/A
2025-04-03 22:43:06,radiator,62.8,22.7,N/A
2021-01-02 03:21:51,room,55.1,23.6,N/A
2025-04-03 22:53:07,radiator,64.9,22.6,N/A
2021-01-02 03:31:52,room,55.1,23.6,N/A
2025-04-03 23:03:07,radiator,65.5,22.5,N/A
2021-01-02 03:41:52,room,54.8,23.6,N/A
2025-04-03 23:13:08,radiator,65.7,22.5,N/A
2021-01-02 03:51:53,room,55.9,23.6,N/A
2025-04-03 23:23:08,radiator,66.6,22.3,N/A
2021-01-02 04:01:53,room,55.5,23.6,N/A
2025-04-03 23:33:09,radiator,66.3,22.3,N/A
2021-01-02 04:11:54,room,56.0,23.6,N/A
2025-04-03 23:43:10,radiator,66.7,22.3,N/A
2021-01-02 04:21:55,room,56.4,23.6,N/A
2025-04-03 23:53:10,radiator,66.4,22.2,N/A
2021-01-02 04:31:55,room,55.9,23.6,N/A
2025-04-04 00:03:11,radiator,66.3,22.2,N/A
2021-01-02 04:41:56,room,56.2,23.6,N/A
2025-04-04 00:13:11,radiator,66.5,22.2,N/A
2021-01-02 04:51:56,room,56.5,23.6,N/A
2025-04-04 00:23:12,radiator,67.0,22.2,N/A
2021-01-02 05:01:57,room,56.8,23.6,N/A
2025-04-04 00:33:13,radiator,66.9,22.2,N/A
2021-01-02 05:11:58,room,57.1,23.6,N/A
2025-04-04 00:43:13,radiator,67.1,22.1,N/A
2021-01-02 05:21:58,room,57.5,23.5,N/A
2025-04-04 00:53:14,radiator,67.1,21.9,N/A
2021-01-02 05:31:59,room,57.6,23.5,N/A
2025-04-04 01:03:14,radiator,67.2,21.8,N/A
2021-01-02 05:42:00,room,58.1,23.5,N/A
2025-04-04 01:13:15,radiator,67.4,21.8,N/A
2021-01-02 05:52:00,room,58.2,23.5,N/A
2025-04-04 01:23:15,radiator,67.6,21.7,N/A
2021-01-02 06:02:01,room,58.4,23.5,N/A
2025-04-04 01:33:16,radiator,67.5,21.6,N/A
2021-01-02 06:12:02,room,58.1,23.5,N/A
2025-04-04 01:43:17,radiator,67.7,21.7,N/A
2021-01-02 06:22:02,room,58.3,23.5,N/A
2025-04-04 01:53:17,radiator,67.4,21.7,N/A
2021-01-02 06:32:03,room,57.8,23.5,N/A
2025-04-04 02:03:18,radiator,66.5,21.6,N/A
2021-01-02 06:42:03,room,58.2,23.5,N/A
2025-04-04 02:13:18,radiator,64.7,21.6,N/A
2021-01-02 06:52:04,room,57.9,23.5,N/A
2025-04-04 02:23:19,radiator,65.5,21.2,N/A
