timestamp,sensor_id,humidity,temperature (sensor reading),temperature (outdoor)
2025-04-16 22:34:30,room,26.6,24.8,N/A
2025-04-16 22:41:49,radiator,2.8,48.1,N/A
2025-04-16 22:44:30,room,26.3,24.9,N/A
2025-04-16 22:51:49,radiator,7.5,39.2,N/A
2025-04-16 22:54:31,room,26.2,24.8,N/A
2025-04-16 23:01:50,radiator,11.2,33.9,N/A
2025-04-16 23:04:31,room,26.2,24.7,N/A
2025-04-16 23:11:51,radiator,9.8,36.5,N/A
2025-04-16 23:14:32,room,26.1,24.7,N/A
2025-04-16 23:21:52,radiator,1.7,50.6,N/A
2025-04-16 23:24:33,room,25.9,24.9,N/A
2025-04-16 23:31:52,radiator,6.6,40.4,N/A
2025-04-16 23:34:33,room,25.9,24.8,N/A
2025-04-16 23:41:53,radiator,10.6,34.2,N/A
2025-04-16 23:44:34,room,25.9,24.7,N/A
2025-04-16 23:51:54,radiator,12.8,31.7,N/A
2025-04-16 23:54:34,room,25.9,24.6,N/A
2025-04-17 00:01:54,radiator,0.4,53.4,N/A
2025-04-17 00:04:35,room,25.6,24.8,N/A
2025-04-17 00:11:55,radiator,5.4,42.3,N/A
2025-04-17 00:14:35,room,25.6,24.7,N/A
2025-04-17 00:21:56,radiator,9.7,35.4,N/A
2025-04-17 00:24:36,room,25.6,24.7,N/A
2025-04-17 00:31:56,radiator,13.0,31.2,N/A
2025-04-17 00:34:37,room,25.7,24.5,N/A
2025-04-17 00:41:57,radiator,0.0,55.8,N/A
2025-04-17 00:44:37,room,25.5,24.7,N/A
2025-04-17 00:51:58,radiator,4.2,44.6,N/A
2025-04-17 00:54:38,room,25.5,24.7,N/A
2025-04-17 01:01:58,radiator,8.900001,36.7,N/A
2025-04-17 01:04:38,room,25.6,24.6,N/A
2025-04-17 01:11:59,radiator,12.4,32.0,N/A
2025-04-17 01:14:39,room,25.7,24.5,N/A
2025-04-17 01:22:00,radiator,0.7,53.8,N/A
2025-04-17 01:24:40,room,25.6,24.6,N/A
2025-04-17 01:32:00,radiator,3.2,46.8,N/A
2025-04-17 01:34:40,room,25.6,24.7,N/A
