time_stamp,temperature
2025-04-14T00:00:00-04:00,62
2025-04-14T00:10:00-04:00,62
2025-04-14T00:20:00-04:00,61
2025-04-14T00:30:00-04:00,60
2025-04-14T00:40:00-04:00,60.6
2025-04-14T00:50:00-04:00,61
2025-04-14T01:00:00-04:00,60.399
2025-04-14T01:10:00-04:00,60.6
2025-04-14T01:20:00-04:00,60.2
2025-04-14T01:30:00-04:00,59.6
2025-04-14T01:40:00-04:00,59.2
2025-04-14T01:50:00-04:00,59.799
2025-04-14T02:00:00-04:00,60.2
2025-04-14T02:10:00-04:00,60.6
2025-04-14T02:20:00-04:00,60.399
2025-04-14T02:30:00-04:00,60
2025-04-14T02:40:00-04:00,58
2025-04-14T02:50:00-04:00,58
2025-04-14T03:00:00-04:00,57.6
2025-04-14T03:10:00-04:00,57.799
2025-04-14T03:20:00-04:00,57.799
2025-04-14T03:30:00-04:00,57.399
2025-04-14T03:40:00-04:00,58
2025-04-14T03:50:00-04:00,57.6
2025-04-14T04:00:00-04:00,57.799
2025-04-14T04:10:00-04:00,57
2025-04-14T04:20:00-04:00,57
2025-04-14T04:30:00-04:00,57
2025-04-14T04:40:00-04:00,56.799
2025-04-14T04:50:00-04:00,57.6
2025-04-14T05:00:00-04:00,57.6
2025-04-14T05:10:00-04:00,57.2
2025-04-14T05:20:00-04:00,57.2
2025-04-14T05:30:00-04:00,57.2
2025-04-14T05:40:00-04:00,57
2025-04-14T05:50:00-04:00,56.399
2025-04-14T06:00:00-04:00,56.799
2025-04-14T06:10:00-04:00,56.6
2025-04-14T06:20:00-04:00,56.799
2025-04-14T06:30:00-04:00,57
2025-04-14T06:40:00-04:00,57.2
2025-04-14T06:50:00-04:00,57
2025-04-14T07:00:00-04:00,57
2025-04-14T07:10:00-04:00,57.399
2025-04-14T07:20:00-04:00,58.2
2025-04-14T07:30:00-04:00,58.799
2025-04-14T07:40:00-04:00,58.799
2025-04-14T07:50:00-04:00,59
2025-04-14T08:00:00-04:00,58.799
2025-04-14T08:10:00-04:00,59.799
2025-04-14T08:20:00-04:00,60.399
2025-04-14T08:30:00-04:00,61
2025-04-14T08:40:00-04:00,61.799
2025-04-14T08:50:00-04:00,62
2025-04-14T09:00:00-04:00,62.799
2025-04-14T09:10:00-04:00,63.2
2025-04-14T09:20:00-04:00,65
2025-04-14T09:30:00-04:00,66.2
2025-04-14T09:40:00-04:00,67
2025-04-14T09:50:00-04:00,68.4
2025-04-14T10:00:00-04:00,69.2
2025-04-14T10:10:00-04:00,73
2025-04-14T10:20:00-04:00,77.2
2025-04-14T10:30:00-04:00,77.4
2025-04-14T10:40:00-04:00,78.2
2025-04-14T10:50:00-04:00,78.799
2025-04-14T11:00:00-04:00,77.4
2025-04-14T11:10:00-04:00,76.2
2025-04-14T11:20:00-04:00,75.2
2025-04-14T11:30:00-04:00,76
2025-04-14T11:40:00-04:00,75.799
2025-04-14T11:50:00-04:00,75.799
2025-04-14T12:00:00-04:00,76
2025-04-14T12:10:00-04:00,76.2
2025-04-14T12:20:00-04:00,76.2
2025-04-14T12:30:00-04:00,76
2025-04-14T12:40:00-04:00,76
2025-04-14T12:50:00-04:00,76
2025-04-14T13:00:00-04:00,75.599
2025-04-14T13:10:00-04:00,76
2025-04-14T13:20:00-04:00,76
2025-04-14T13:30:00-04:00,76.2
2025-04-14T13:40:00-04:00,76.799
2025-04-14T13:50:00-04:00,76.599
2025-04-14T14:00:00-04:00,77.2
2025-04-14T14:10:00-04:00,77.2
2025-04-14T14:20:00-04:00,78
2025-04-14T14:30:00-04:00,77.599
2025-04-14T14:40:00-04:00,78.2
2025-04-14T14:50:00-04:00,78
2025-04-14T15:00:00-04:00,78
2025-04-14T15:10:00-04:00,78
2025-04-14T15:20:00-04:00,78.4
2025-04-14T15:30:00-04:00,79
2025-04-14T15:40:00-04:00,79
2025-04-14T15:50:00-04:00,79.2
2025-04-14T16:00:00-04:00,79.2
2025-04-14T16:10:00-04:00,79.4
2025-04-14T16:20:00-04:00,79.599
2025-04-14T16:30:00-04:00,79.4
2025-04-14T16:40:00-04:00,79.4
2025-04-14T16:50:00-04:00,80
2025-04-14T17:00:00-04:00,79.799
2025-04-14T17:10:00-04:00,79
2025-04-14T17:20:00-04:00,79.2
2025-04-14T17:30:00-04:00,79
2025-04-14T17:40:00-04:00,79
2025-04-14T17:50:00-04:00,78.799
2025-04-14T18:00:00-04:00,78.599
2025-04-14T18:10:00-04:00,79.2
2025-04-14T18:20:00-04:00,78.799
2025-04-14T18:30:00-04:00,78.599
2025-04-14T18:40:00-04:00,79
2025-04-14T18:50:00-04:00,79
2025-04-14T19:00:00-04:00,78.4
2025-04-14T19:10:00-04:00,78.2
2025-04-14T19:20:00-04:00,78
2025-04-14T19:30:00-04:00,78
2025-04-14T19:40:00-04:00,78
2025-04-14T19:50:00-04:00,77.599
2025-04-14T20:00:00-04:00,77.2
2025-04-14T20:10:00-04:00,77
2025-04-14T20:20:00-04:00,77
2025-04-14T20:30:00-04:00,77
2025-04-14T20:40:00-04:00,76.799
2025-04-14T20:50:00-04:00,77
2025-04-14T21:00:00-04:00,77
2025-04-14T21:10:00-04:00,76
2025-04-14T21:20:00-04:00,75.599
2025-04-14T21:30:00-04:00,75.4
2025-04-14T21:40:00-04:00,75
2025-04-14T21:50:00-04:00,74.599
2025-04-14T22:00:00-04:00,74
2025-04-14T22:10:00-04:00,73.599
2025-04-14T22:20:00-04:00,73
2025-04-14T22:30:00-04:00,73
2025-04-14T22:40:00-04:00,72.4
2025-04-14T22:50:00-04:00,72
2025-04-14T23:00:00-04:00,71.599
2025-04-14T23:10:00-04:00,71.4
2025-04-14T23:20:00-04:00,71.4
2025-04-14T23:30:00-04:00,71.2
2025-04-14T23:40:00-04:00,71
2025-04-14T23:50:00-04:00,71
2025-04-15T00:00:00-04:00,71.2
2025-04-15T00:10:00-04:00,71
2025-04-15T00:20:00-04:00,71
2025-04-15T00:30:00-04:00,70.4
2025-04-15T00:40:00-04:00,70.2
2025-04-15T00:50:00-04:00,70
2025-04-15T01:00:00-04:00,69.599
2025-04-15T01:10:00-04:00,69.4
2025-04-15T01:20:00-04:00,69.4
2025-04-15T01:30:00-04:00,69.599
2025-04-15T01:40:00-04:00,69.4
2025-04-15T01:50:00-04:00,69
2025-04-15T02:00:00-04:00,69
2025-04-15T02:10:00-04:00,68.2
2025-04-15T02:20:00-04:00,68
2025-04-15T02:30:00-04:00,67.4
2025-04-15T02:40:00-04:00,67
2025-04-15T02:50:00-04:00,66.599
2025-04-15T03:00:00-04:00,66
2025-04-15T03:10:00-04:00,65.4
2025-04-15T03:20:00-04:00,64.799
2025-04-15T03:30:00-04:00,64.799
2025-04-15T03:40:00-04:00,64.799
2025-04-15T03:50:00-04:00,64.2
2025-04-15T04:00:00-04:00,64
2025-04-15T04:10:00-04:00,64.4
2025-04-15T04:20:00-04:00,64
2025-04-15T04:30:00-04:00,63.799
2025-04-15T04:40:00-04:00,63.6
2025-04-15T04:50:00-04:00,63.2
2025-04-15T05:00:00-04:00,63
2025-04-15T05:10:00-04:00,63.2
2025-04-15T05:20:00-04:00,63
2025-04-15T05:30:00-04:00,63
2025-04-15T05:40:00-04:00,62.799
2025-04-15T05:50:00-04:00,62.6
2025-04-15T06:00:00-04:00,62.2
2025-04-15T06:10:00-04:00,62.2
2025-04-15T06:20:00-04:00,62.2
2025-04-15T06:30:00-04:00,61.799
2025-04-15T06:40:00-04:00,62
2025-04-15T06:50:00-04:00,61.2
2025-04-15T07:00:00-04:00,61
2025-04-15T07:10:00-04:00,61.799
2025-04-15T07:20:00-04:00,61.6
2025-04-15T07:30:00-04:00,61.2
2025-04-15T07:40:00-04:00,61.2
